latitude,longitude,geometry,BUILDING_N,STN_NO,XCOORD,YCOORD
1.281873789,103.8590798,Point,BAYFRONT MRT STATION,DT16/CE1,30867.00927,29368.62504
1.312320099,103.8379853,Point,NEWTON MRT STATION,NS21,28519.3616,32735.20717
1.276213522,103.7913503,Point,PASIR PANJANG MRT STATION,CC26,23329.26473,28742.76576
1.276427355,103.8545978,Point,MARINA BAY MRT STATION,NS27/CE2,30368.20565,28766.38189
1.288386024,103.8465552,Point,CLARKE QUAY MRT STATION,NE5,29473.12494,30088.70379
1.348707263,103.8394231,Point,MARYMOUNT MRT STATION,CC16,28679.36878,36758.71362
1.317510612,103.8075861,Point,FARRER ROAD MRT STATION,CC20,25136.2263,33309.16168
1.282542157,103.7818105,Point,HAW PAR VILLA MRT STATION,CC25,22267.56746,29442.573
1.351612171,103.8641519,Point,LORONG CHUAN MRT STATION,CC14,31431.40543,37079.9444
1.331379525,103.8690557,Point,POTONG PASIR MRT STATION,NE10,31977.16771,34842.72894
1.30735702,103.8628292,Point,LAVENDER MRT STATION,EW11,31284.25888,32186.43419
1.298842817,103.8462391,Point,DHOBY GHAUT MRT STATION,CC1/NE6/NS24,29437.94006,31244.96185
1.335433322,103.8881949,Point,TAI SENG MRT STATION,CC11,34107.15264,35291.01637
1.35037218,103.8731385,Point,SERANGOON MRT STATION,CC13/NE12,32431.51359,36942.84705
1.339190045,103.8708183,Point,WOODLEIGH MRT STATION,NE11,32173.3186,35706.37937
1.299766835,103.863637,Point,NICOLL HIGHWAY MRT STATION,CC5,31374.17084,31347.15155
1.312359841,103.8541771,Point,FARRER PARK MRT STATION,NE8,30321.35959,32739.61074
1.31800386,103.8921894,Point,PAYA LEBAR MRT STATION,CC9/EW8,34551.75019,33363.76513
1.342828338,103.8797589,Point,BARTLEY MRT STATION,CC12,33168.30386,36108.70031
1.371292292,103.8923805,Point,HOUGANG MRT STATION,NE14,34572.87587,39256.13113
1.28619898,103.8270238,Point,TIONG BAHRU MRT STATION,EW17,27299.44256,29846.86876
1.26547264,103.8214431,Point,HARBOURFRONT MRT STATION,NE1 / CC29,26678.34451,27555.05949
1.293462633,103.7846314,Point,KENT RIDGE MRT STATION,CC24,22581.54208,30650.09718
1.293321607,103.8555041,Point,ESPLANADE MRT STATION,CC3,30469.0566,30634.46206
